ISSN,Title,Published List Price,"Final Net
Price",Difference,ALP
0001-4575,Accident Analysis & Prevention,4246,4555.72,309.72,7.3
1742-7061,Acta Biomaterialia,2109,2262.84,153.84,7.3
0001-8686,Advances in Colloid and Interface Science,5188,5566.43,378.43,7.3
0001-8708,Advances in Mathematics,4421,4743.48,322.48,7.3
0309-1708,Advances in Water Resources,4040,4334.69,294.69,7.3
1359-1789,Aggression and Violent Behavior,1641,1760.7,119.7,7.3
0168-1923,Agricultural and Forest Meteorology,6580,7059.97,479.97,7.3
0167-8809,"Agriculture, Ecosystems & Environment",5991,6428,437,7.3
1075-9964,Anaerobe,1189,1275.73,86.73,7.3
FS00-5138,Analytica Chimica Acta with Vibrational Spectroscopy,18425,19768.99,1343.99,7.3
0003-2697,Analytical Biochemistry,8943,9595.33,652.33,7.3
0003-3472,Animal Behaviour,1995,2140.52,145.52,7.3
0940-9602,Annals of Anatomy,1794,1924.86,130.86,7.3
0003-4916,Annals of Physics,3385,3631.91,246.91,7.3
0169-1317,Applied Clay Science,2861,3069.7,208.7,7.3
0306-2619,Applied Energy,7304,7836.78,532.78,7.3
0003-6870,Applied Ergonomics,2499,2681.28,182.28,7.3
0883-2927,Applied Geochemistry,2866,3075.05,209.05,7.3
0143-6228,Applied Geography,1758,1886.23,128.23,7.3
0307-904X,Applied Mathematical Modelling,3739,4011.73,272.73,7.3
0096-3003,Applied Mathematics and Computation,10000,10729.43,729.43,7.3
0969-8043,Applied Radiation and Isotopes,6573,7052.46,479.46,7.3
1568-4946,Applied Soft Computing,1412,1514.99,102.99,7.3
0929-1393,Applied Soil Ecology,3168,3399.08,231.08,7.3
0169-4332,Applied Surface Science,18572,19926.71,1354.71,7.3
1359-4311,Applied Thermal Engineering,5883,6312.12,429.12,7.3
0003-9861,Archives of Biochemistry and Biophysics,7896,8471.96,575.96,7.3
0169-8095,Atmospheric Research,4488,4815.37,327.37,7.3
0926-5805,Automation in Construction,1887,2024.64,137.64,7.3
0005-7894,Behavior Therapy,660,708.14,48.14,7.3
0005-7967,Behaviour Research and Therapy,3916,4201.64,285.64,7.3
0006-291X,Biochemical and Biophysical Research Communications,14921,16009.39,1088.39,7.3
0006-2952,Biochemical Pharmacology,12774,13705.79,931.79,7.3
0005-2728,Biochimica et Biophysica Acta: Bioenergetics,5703,6119,416,7.3
0005-2736,Biochimica et Biophysica Acta: Biomembranes,8093,8683.33,590.33,7.3
1874-9399,Biochimica et Biophysica Acta: Gene Regulatory Mechanisms,5171,5548.19,377.19,7.3
0304-4165,Biochimica et Biophysica Acta: General Subjects,6490,6963.41,473.41,7.3
1388-1981,Biochimica et Biophysica Acta: Molecular and Cell Biology of Lipids,6456,6926.93,470.93,7.3
0925-4439,Biochimica et Biophysica Acta: Molecular Basis of Disease,3783,4058.94,275.94,7.3
0167-4889,Biochimica et Biophysica Acta: Molecular Cell Research,6044,6484.87,440.87,7.3
0300-9084,Biochimie,2700,2896.94,196.94,7.3
0006-3207,Biological Conservation,6952,7459.1,507.1,7.3
0961-9534,Biomass & Bioenergy,4343,4659.79,316.79,7.3
0142-9612,Biomaterials,12497,13408.58,911.58,7.3
FS00-0131,Bioorganic & Medicinal Chemistry with Bioorganic & Medicinal Chemistry Letters,12682,13607.08,925.08,7.3
0960-8524,Bioresource Technology,10364,11119.99,755.99,7.3
0956-5663,Biosensors and Bioelectronics,5647,6058.91,411.91,7.3
0734-9750,Biotechnology Advances,4149,4451.64,302.64,7.3
1740-1445,Body Image,972,1042.91,70.91,7.3
0006-8993,Brain Research,11522,12362.46,840.46,7.3
0360-1323,Building and Environment,5032,5434.56,402.56,8
0007-6813,Business Horizons,753,807.92,54.92,7.3
0008-6215,Carbohydrate Research,6006,6444.1,438.1,7.3
0008-6223,Carbon,8666,9298.13,632.13,7.3
1566-7367,Catalysis Communications,2004,2150.18,146.18,7.3
0920-5861,Catalysis Today,11303,12127.49,824.49,7.3
0341-8162,CATENA,3580,3841.14,261.14,7.3
0008-8846,Cement and Concrete Research,6234,6688.73,454.73,7.3
0960-0779,"Chaos, Solitons & Fractals",5331,5719.86,388.86,7.3
1385-8947,Chemical Engineering Journal,7471,8015.96,544.96,7.3
0009-2509,Chemical Engineering Science,12813,13747.62,934.62,7.3
0009-2541,Chemical Geology,9200,9871.08,671.08,7.3
0009-2614,Chemical Physics Letters,12797,13730.46,933.46,7.3
0045-6535,Chemosphere,12295,13191.84,896.84,7.3
0145-2134,Child Abuse & Neglect,3945,4232.76,287.76,7.3
0190-7409,Children and Youth Services Review,3255,3492.43,237.43,7.3
1043-951X,China Economic Review,1074,1152.34,78.34,7.3
0264-2751,Cities,2376,2549.32,173.32,7.3
0272-7358,Clinical Psychology Review,3430,3680.2,250.2,7.3
0010-0277,Cognition,3868,4150.15,282.15,7.3
1077-7229,Cognitive and Behavioral Practice,479,513.94,34.94,7.3
0010-2180,Combustion and Flame,3903,4187.7,284.7,7.3
1007-5704,Communications in Nonlinear Science and Numerical Simulation,1778,1907.69,129.69,7.3
0266-3538,Composites Science and Technology,9884,10604.98,720.98,7.3
0167-9473,Computational Statistics & Data Analysis,3918,4203.79,285.79,7.3
0045-7825,Computer Methods in Applied Mechanics and Engineering,6255,6711.26,456.26,7.3
0010-4655,Computer Physics Communications,6225,6679.08,454.08,7.3
0098-1354,Computers & Chemical Engineering,6599,7080.35,481.35,7.3
0360-1315,Computers & Education,4298,4611.52,313.52,7.3
0098-3004,Computers & Geosciences,5152,5527.81,375.81,7.3
0360-8352,Computers & Industrial Engineering,6297,6756.32,459.32,7.3
0898-1221,Computers & Mathematics with Applications,6864,7364.69,500.69,7.3
0167-4048,Computers & Security,2172,2330.44,158.44,7.3
8755-4615,Computers and Composition,853,915.23,62.23,7.3
0266-352X,Computers and Geotechnics,3629,3893.71,264.71,7.3
0747-5632,Computers in Human Behavior,3660,3926.98,266.98,7.3
0950-0618,Construction and Building Materials,3495,3749.93,254.93,7.3
0361-476X,Contemporary Educational Psychology,1597,1713.49,116.49,7.3
0010-8545,Coordination Chemistry Reviews,11894,12761.59,867.59,7.3
0010-938X,Corrosion Science,7745,8309.95,564.95,7.3
1567-1739,Current Applied Physics,1222,1311.14,89.14,7.3
0958-1669,Current Opinion in Biotechnology,5055,5423.72,368.72,7.3
0955-0674,Current Opinion in Cell Biology,4103,4402.28,299.28,7.3
1367-5931,Current Opinion in Chemical Biology,3795,4071.82,276.82,7.3
0959-437X,Current Opinion in Genetics & Development,3858,4139.41,281.41,7.3
1369-5274,Current Opinion in Microbiology,3919,4204.86,285.86,7.3
0959-4388,Current Opinion in Neurobiology,3891,4174.82,283.82,7.3
1369-5266,Current Opinion in Plant Biology,3982,4272.46,290.46,7.3
0959-440X,Current Opinion in Structural Biology,4286,4598.64,312.64,7.3
0167-9236,Decision Support Systems,2927,3140.51,213.51,7.3
0011-9164,Desalination,11912,12780.9,868.9,7.3
0012-1606,Developmental Biology,9215,9887.17,672.17,7.3
0885-2006,Early Childhood Research Quarterly,1132,1214.57,82.57,7.3
0012-821X,Earth and Planetary Science Letters,9569,10267,698,7.3
0012-8252,Earth-Science Reviews,3985,4275.67,290.67,7.3
0921-8009,Ecological Economics,4325,4640.48,315.48,7.3
0925-8574,Ecological Engineering,2632,2823.98,191.98,7.3
1470-160X,Ecological Indicators,1423,1526.8,103.8,7.3
0304-3800,Ecological Modelling,8014,8598.58,584.58,7.3
0165-1765,Economics Letters,5381,5773.51,392.51,7.3
0272-7757,Economics of Education Review,2115,2269.27,154.27,7.3
0013-4686,Electrochimica Acta,12464,13373.16,909.16,7.3
0360-5442,Energy,6385,6850.74,465.74,7.3
0378-7788,Energy and Buildings,4661,5001,340,7.3
0196-8904,Energy Conversion and Management,9447,10136.1,689.1,7.3
0140-9883,Energy Economics,2651,2844.37,193.37,7.3
0301-4215,Energy Policy,5654,6066.42,412.42,7.3
0013-7944,Engineering Fracture Mechanics,9711,10419.36,708.36,7.3
0013-7952,Engineering Geology,4558,4890.48,332.48,7.3
0141-0296,Engineering Structures,5853,6279.94,426.94,7.3
1364-8152,Environmental Modelling & Software,2999,3217.76,218.76,7.3
0014-2921,European Economic Review,3429,3679.13,250.13,7.3
0223-5234,European Journal of Medicinal Chemistry,3055,3277.85,222.85,7.3
0377-2217,European Journal of Operational Research,9749,10460.12,711.12,7.3
0176-2680,European Journal of Political Economy,1839,1973.14,134.14,7.3
1164-5563,European Journal of Soil Biology,861,923.8,62.8,7.3
0263-2373,European Management Journal,1716,1841.17,125.17,7.3
0014-4827,Experimental Cell Research,8293,8956.44,663.44,8
0531-5565,Experimental Gerontology,4380,4699.49,319.49,7.3
0014-4886,Experimental Neurology,6931,7436.58,505.58,7.3
0957-4174,Expert Systems with Applications,7195,7719.83,524.83,7.3
0014-4983,Explorations in Economic History,1171,1256.42,85.42,7.3
0378-3812,Fluid Phase Equilibria,11638,12486.91,848.91,7.3
0308-8146,Food Chemistry,13213,14176.8,963.8,7.3
0378-1127,Forest Ecology and Management,9637,10339.97,702.97,7.3
0016-2361,Fuel,7673,8232.7,559.7,7.3
0378-3820,Fuel Processing Technology,5586,5993.46,407.46,7.3
0378-1119,Gene,11688,12540.56,852.56,7.3
0016-7037,Geochimica et Cosmochimica Acta,6362,6826.07,464.07,7.3
0016-7061,Geoderma,6319,6779.93,460.93,7.3
0016-7185,Geoforum,2035,2183.44,148.44,7.3
0169-555X,Geomorphology,5421,5816.42,395.42,7.3
0266-1144,Geotextiles and Geomembranes,2427,2604.04,177.04,7.3
0375-6505,Geothermics,2704,2901.24,197.24,7.3
0921-8181,Global and Planetary Change,3914,4199.51,285.51,7.3
0959-3780,Global Environmental Change,2071,2222.06,151.06,7.3
1342-937X,Gondwana Research,1876,2012.84,136.84,7.3
0740-624X,Government Information Quarterly,1344,1442.04,98.04,7.3
1568-9883,Harmful Algae,1022,1096.55,74.55,7.3
0315-0860,Historia Mathematica,520,557.93,37.93,7.3
0018-506X,Hormones and Behavior,3008,3227.42,219.42,7.3
0198-8859,Human Immunology,3197,3430.2,233.2,7.3
1053-4822,Human Resource Management Review,1261,1352.98,91.98,7.3
0019-1035,Icarus,7618,8173.69,555.69,7.3
0019-8501,Industrial Marketing Management,2624,2815.4,191.4,7.3
0378-7206,Information & Management,2128,2283.23,155.23,7.3
1350-4495,Infrared Physics & Technology,3362,3607.24,245.24,7.3
0020-1693,Inorganica Chimica Acta,7529,8078.2,549.2,7.3
0160-2896,Intelligence,1327,1423.8,96.8,7.3
0166-5162,International Journal of Coal Geology,4770,5117.94,347.94,7.3
0168-1605,International Journal of Food Microbiology,8611,9239.12,628.12,7.3
1750-5836,International Journal of Greenhouse Gas Control,1889,2026.79,137.79,7.3
0017-9310,International Journal of Heat and Mass Transfer,13558,14546.98,988.98,7.3
0278-4319,International Journal of Hospitality Management,2040,2188.8,148.8,7.3
1071-5819,International Journal of Human-Computer Studies,4305,4619.02,314.02,7.3
0360-3199,International Journal of Hydrogen Energy,5637,6048.18,411.18,7.3
0169-8141,International Journal of Industrial Ergonomics,1919,2058.97,139.97,7.3
0268-4012,International Journal of Information Management,2096,2248.9,152.9,7.3
0147-1767,International Journal of Intercultural Relations,2461,2640.52,179.52,7.3
0020-7462,International Journal of Non-Linear Mechanics,2195,2355.11,160.11,7.3
0925-5273,International Journal of Production Economics,5824,6248.83,424.83,7.3
0263-7863,International Journal of Project Management,2731,2930.21,199.21,7.3
1365-1609,International Journal of Rock Mechanics and Mining Sciences,6436,6905.47,469.47,7.3
0020-7683,International Journal of Solids and Structures,13443,14423.58,980.58,7.3
0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,1250,1341.18,91.18,7.3
0165-4101,Journal of Accounting and Economics,2861,3069.7,208.7,7.3
0278-4254,Journal of Accounting and Public Policy,1570,1684.52,114.52,7.3
0140-1971,Journal of Adolescence,831,891.61,60.61,7.3
0021-8693,Journal of Algebra,4608,4944.12,336.12,7.3
0278-4165,Journal of Anthropological Archaeology,887,951.7,64.7,7.3
0193-3973,Journal of Applied Developmental Psychology,1210,1298.26,88.26,7.3
0926-9851,Journal of Applied Geophysics,2805,3009.6,204.6,7.3
0305-4403,Journal of Archaeological Science,3059,3282.13,223.13,7.3
2352-409X,Journal of Archaeological Science: Reports,378,405.58,27.58,7.3
1367-9120,Journal of Asian Earth Sciences,3146,3375.49,229.49,7.3
0378-4266,Journal of Banking & Finance,6139,6586.8,447.8,7.3
0168-1656,Journal of Biotechnology,9012,9669.37,657.37,7.3
0148-2963,Journal of Business Research,4935,5294.98,359.98,7.3
0883-9026,Journal of Business Venturing,2242,2405.54,163.54,7.3
0021-9517,Journal of Catalysis,9759,10470.86,711.86,7.3
0959-6526,Journal of Cleaner Production,3163,3393.72,230.72,7.3
0021-9797,Journal of Colloid and Interface Science,10823,11612.47,789.47,7.3
0377-0427,Journal of Computational and Applied Mathematics,8758,9396.84,638.84,7.3
0021-9991,Journal of Computational Physics,7356,7892.58,536.58,7.3
0169-7722,Journal of Contaminant Hydrology,4327,4642.63,315.63,7.3
0929-1199,Journal of Corporate Finance,1367,1466.71,99.71,7.3
0047-2352,Journal of Criminal Justice,2544,2729.57,185.57,7.3
0022-0248,Journal of Crystal Growth,9916,10639.31,723.31,7.3
0304-3878,Journal of Development Economics,4323,4638.34,315.34,7.3
0022-0396,Journal of Differential Equations,4666,5006.35,340.35,7.3
0304-4076,Journal of Econometrics,5772,6193.03,421.03,7.3
0167-2681,Journal of Economic Behavior & Organization,5237,5619,382,7.3
1050-6411,Journal of Electromyography and Kinesiology,2112,2266.06,154.06,7.3
0301-4797,Journal of Environmental Management,3580,3841.14,261.14,7.3
0272-4944,Journal of Environmental Psychology,1051,1127.66,76.66,7.3
0022-1031,Journal of Experimental Social Psychology,2571,2758.54,187.54,7.3
0304-405X,Journal of Financial Economics,6011,6449.47,438.47,7.3
0022-1236,Journal of Functional Analysis,3030,3251.02,221.02,7.3
0393-0440,Journal of Geometry and Physics,1791,1921.64,130.64,7.3
0304-3894,Journal of Hazardous Materials,10103,10839.95,736.95,7.3
0167-6296,Journal of Health Economics,3087,3312.18,225.18,7.3
0047-2484,Journal of Human Evolution,3364,3609.38,245.38,7.3
0022-1694,Journal of Hydrology,13320,14291.6,971.6,7.3
1226-086X,Journal of Industrial and Engineering Chemistry,799,857.28,58.28,7.3
0162-0134,Journal of Inorganic Biochemistry,5673,6086.81,413.81,7.3
0022-1996,Journal of International Economics,3320,3562.18,242.18,7.3
0022-2313,Journal of Luminescence,5938,6371.14,433.14,7.3
0304-8853,Journal of Magnetism and Magnetic Materials,11535,12376.4,841.4,7.3
0376-7388,Journal of Membrane Science,12712,13639.26,927.26,7.3
0167-7012,Journal of Microbiological Methods,5756,6175.86,419.86,7.3
0022-2836,Journal of Molecular Biology,5204,5583.6,379.6,7.3
1875-5100,Journal of Natural Gas Science and Engineering,1414,1517.14,103.14,7.3
1084-8045,Journal of Network and Computer Applications,1994,2139.44,145.44,7.3
0165-0270,Journal of Neuroscience Methods,6099,6543.89,444.89,7.3
0022-314X,Journal of Number Theory,1880,2017.14,137.14,7.3
0022-328X,Journal of Organometallic Chemistry,8081,8670.46,589.46,7.3
0920-4105,Journal of Petroleum Science and Engineering,4562,4894.76,332.76,7.3
0022-3697,Journal of Physics and Chemistry of Solids,4554,4886.2,332.2,7.3
0378-7753,Journal of Power Sources,11728,12583.48,855.48,7.3
1874-3919,Journal of Proteomics,5548,5952.7,404.7,7.3
0022-3999,Journal of Psychosomatic Research,5790,5465.58,-324.42,-5.6
0047-2727,Journal of Public Economics,5338,5727.37,389.37,7.3
0022-4073,Journal of Quantitative Spectroscopy & Radiative Transfer,10233,10979.44,746.44,7.3
0092-6566,Journal of Research in Personality,1635,1754.27,119.27,7.3
0022-4405,Journal of School Psychology,900,965.65,65.65,7.3
1047-8477,Journal of Structural Biology,2834,3040.72,206.72,7.3
0191-8141,Journal of Structural Geology,3984,4274.6,290.6,7.3
0094-1190,Journal of Urban Economics,2554,2740.3,186.3,7.3
0001-8791,Journal of Vocational Behavior,2494,2675.93,181.93,7.3
1090-9516,Journal of World Business,1140,1223.16,83.16,7.3
0927-5371,Labour Economics,1359,1458.13,99.13,7.3
0169-2046,Landscape and Urban Planning,4384,4703.78,319.78,7.3
1041-6080,Learning and Individual Differences,1026,1100.84,74.84,7.3
0959-4752,Learning and Instruction,1607,1724.22,117.22,7.3
0740-8188,Library & Information Science Research,998,1070.8,72.8,7.3
0024-3795,Linear Algebra and its Applications,7098,7615.75,517.75,7.3
0024-4937,Lithos,3675,3943.07,268.07,7.3
0730-725X,Magnetic Resonance Imaging,4496,4295,-201.00,-4.5
0264-8172,Marine and Petroleum Geology,4985,5348.63,363.63,7.3
0167-577X,Materials Letters,7863,8436.56,573.56,7.3
1369-7021,Materials Today,951,1020.37,69.37,7.3
0945-053X,Matrix Biology,564,605.15,41.15,7.3
1350-4533,Medical Engineering & Physics,4146,4448.42,302.42,7.3
1096-7176,Metabolic Engineering,1032,1107.28,75.28,7.3
1046-2023,Methods,1910,2049.32,139.32,7.3
0944-5013,Microbiological Research,1518,1628.72,110.72,7.3
1387-1811,Microporous and Mesoporous Materials,7531,8080.34,549.34,7.3
2468-8231,Molecular Catalysis,11896,12763.74,867.74,7.3
0161-5890,Molecular Immunology,6326,6787.44,461.44,7.3
1055-7903,Molecular Phylogenetics and Evolution,2168,2326.15,158.15,7.3
1674-2052,Molecular Plant,1927,2067.56,140.56,7.3
1748-0132,Nano Today,1484,1592.24,108.24,7.3
0893-6080,Neural Networks,3911,4196.29,285.29,7.3
0306-4522,Neuroscience,14214,15351.12,1137.12,8
0149-7634,Neuroscience & Biobehavioral Reviews,5161,5537.46,376.46,7.3
1384-1076,New Astronomy,947,1016.08,69.08,7.3
1089-8603,Nitric Oxide,1105,1185.6,80.6,7.3
0305-0483,Omega,2934,3148.02,214.02,7.3
0030-4018,Optics Communications,9716,10424.72,708.72,7.3
0030-4026,Optik,5420,5815.36,395.36,7.3
0030-4387,Orbis,761,816.52,55.52,7.3
1566-1199,Organic Electronics,1739,1865.86,126.86,7.3
0146-6380,Organic Geochemistry,6500,6974.14,474.14,7.3
0749-5978,Organizational Behavior and Human Decision Processes,3265,3503.16,238.16,7.3
0090-2616,Organizational Dynamics,634,680.24,46.24,7.3
0031-0182,"Palaeogeography, Palaeoclimatology, Palaeoecology",9063,9724.09,661.09,7.3
0191-8869,Personality and Individual Differences,6454,6924.78,470.78,7.3
0378-4371,Physica A: Statistical Mechanics and its Applications,8275,8878.61,603.61,7.3
0921-4526,Physica B: Condensed Matter,6620,7102.9,482.9,7.3
0167-2789,Physica D: Nonlinear Phenomena,3472,3725.27,253.27,7.3
1386-9477,Physica E: Low- Dimensional Systems and Nanostructures,3830,4109.38,279.38,7.3
1571-0645,Physics of Life Reviews,783,840.11,57.11,7.3
0031-9384,Physiology & Behavior,10303,11127.24,824.24,8
0031-9422,Phytochemistry,10671,11449.38,778.38,7.3
0032-0633,Planetary and Space Science,6296,6755.24,459.24,7.3
0962-6298,Political Geography,1941,2082.59,141.59,7.3
0032-3861,Polymer,16713,17932.1,1219.1,7.3
1540-7489,Proceedings of the Combustion Institute,1418,1521.44,103.44,7.3
0079-6816,Progress in Surface Science,2852,3060.04,208.04,7.3
1046-5928,Protein Expression and Purification,1950,2092.24,142.24,7.3
1469-0292,Psychology of Sport and Exercise,1286,1379.81,93.81,7.3
0363-8111,Public Relations Review,1330,1427.02,97.02,7.3
1040-6182,Quaternary International,2506,2688.8,182.8,7.3
0277-3791,Quaternary Science Reviews,4908,5266.01,358.01,7.3
1350-4487,Radiation Measurements,3457,3709.16,252.16,7.3
0166-0462,Regional Science and Urban Economics,2326,2495.66,169.66,7.3
0951-8320,Reliability Engineering & System Safety,8612,9240.19,628.19,7.3
0034-4257,Remote Sensing of Environment,7032,7544.94,512.94,7.3
1364-0321,Renewable & Sustainable Energy Reviews,3774,4049.29,275.29,7.3
0960-1481,Renewable Energy,5778,6199.48,421.48,7.3
0923-2508,Research in Microbiology,1731,1857.26,126.26,7.3
0191-3085,Research in Organizational Behavior,583,625.52,42.52,7.3
0048-7333,Research Policy,4952,5313.23,361.23,7.3
0925-7535,Safety Science,2936,3150.17,214.17,7.3
0048-9697,Science of the Total Environment,14812,15892.44,1080.44,7.3
0037-0738,Sedimentary Geology,6337,6799.25,462.25,7.3
1084-9521,Seminars in Cell and Developmental Biology,1783,1913.06,130.06,7.3
0925-4005,Sensors and Actuators B: Chemical,11665,12515.89,850.89,7.3
0165-1684,Signal Processing,6952,7459.1,507.1,7.3
0277-9536,Social Science & Medicine,10913,11709.04,796.04,7.3
0049-089X,Social Science Research,1584,1699.55,115.55,7.3
0038-0717,Soil Biology & Biochemistry,6530,7006.33,476.33,7.3
0267-7261,Soil Dynamics and Earthquake Engineering,5337,5726.3,389.3,7.3
0927-0248,Solar Energy Materials and Solar Cells,6351,6814.26,463.26,7.3
0038-1098,Solid State Communications,4974,5336.82,362.82,7.3
2211-6753,Spatial Statistics,1049,1125.53,76.53,7.3
1441-3523,Sport Management Review,648,695.27,47.27,7.3
0167-7152,Statistics & Probability Letters,3808,4085.77,277.77,7.3
0039-3681,Studies in History and Philosophy of Science Part A,1300,1394.83,94.83,7.3
1369-8486,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,897,962.44,65.44,7.3
0257-8972,Surface and Coatings Technology,15123,16226.12,1103.12,7.3
0039-6028,Surface Science,5896,6326.08,430.08,7.3
0167-5729,Surface Science Reports,2749,2949.53,200.53,7.3
0723-2020,Systematic and Applied Microbiology,2074,2225.29,151.29,7.3
0039-9140,Talanta,9186,9856.06,670.06,7.3
0742-051X,Teaching and Teacher Education,3050,3272.47,222.47,7.3
0040-1625,Technological Forecasting and Social Change,2488,2669.48,181.48,7.3
0040-1951,Tectonophysics,10918,11714.4,796.4,7.3
0736-5853,Telematics and Informatics,2389,2563.26,174.26,7.3
0040-4020,Tetrahedron,14115,15144.6,1029.6,7.3
0040-4039,Tetrahedron Letters,21621,23198.12,1577.12,7.3
0197-4556,The Arts in Psychotherapy,1830,1963.49,133.49,7.3
1357-2725,The International Journal of Biochemistry & Cell Biology,8180,8776.68,596.68,7.3
1096-7516,The Internet and Higher Education,934,1002.13,68.13,7.3
0099-1333,The Journal of Academic Librarianship,811,870.16,59.16,7.3
0140-6736,The Lancet,2614,2804.68,190.68,7.3
1048-9843,The Leadership Quarterly,1389,1490.32,101.32,7.3
0040-6090,Thin Solid Films,14425,15477.22,1052.22,7.3
0261-5177,Tourism Management,3497,3752.09,255.09,7.3
0968-0004,Trends in Biochemical Sciences,3462,3714.53,252.53,7.3
0962-8924,Trends in Cell Biology,4105,4404.43,299.43,7.3
1364-6613,Trends in Cognitive Sciences,4268,4579.32,311.32,7.3
0169-5347,Trends in Ecology & Evolution,4363,4681.25,318.25,7.3
0168-9525,Trends in Genetics,4058,4354.01,296.01,7.3
0966-842X,Trends in Microbiology,3919,4204.86,285.86,7.3
0166-2236,Trends in Neurosciences,4227,4535.33,308.33,7.3
1360-1385,Trends in Plant Science,4089,4387.26,298.26,7.3
0304-3991,Ultramicroscopy,5666,6079.3,413.3,7.3
0041-624X,Ultrasonics,3251,3488.14,237.14,7.3
0042-207X,Vacuum,7079,7595.38,516.38,7.3
0043-1354,Water Research,11369,12198.3,829.3,7.3
0277-5395,Women's Studies International Forum,1719,1844.39,125.39,7.3
0305-750X,World Development,5452,5849.69,397.69,7.3
